Unnamed: 0,Id,Age,Gender,Departments,Average Score,Communication Skills,Teamwork Skills,Management Skills,Critical Thinking,Computer Skills,Language Skills,Machine Operation Skills,Data Analysis Skills,Sales and Marketing Skills,Writing Skills,Financial Skills,Project Management Skills,Medical Skills,Annual Tuition Budget,Preferred Location,Key Factors for Future Job,Major,Habit,Field of Interest,Converted Score,Matched Universities
25,26,16,1,3,8.68,2,4,3,4,2,1,3,2,2,1,3,2,1,3,3,"8,7,1",15,5,12,26.04,
26,27,18,2,1,8.24,2,4,3,3,3,2,3,1,2,1,3,2,1,2,3,"7,5,8",8,5,1,24.72,Đại học Khoa học Tự nhiên - ĐHQG TP Hồ Chí Minh
27,28,18,2,4,7.54,2,1,5,1,1,3,1,2,3,1,3,1,2,1,2,"8,4,1",15,5,12,22.62,
28,29,17,1,1,8.49,5,3,2,5,1,2,3,1,1,3,3,1,3,1,3,"5,4,3",3,1,2,25.47,"Học viện Công nghệ Bưu chính Viễn thông, Trường Đại học Giao thông Vận tải, Trường Đại học Mở Hà Nội, Học viện Ngoại giao, Trường Đại học Kinh doanh và Công nghệ Hà Nội"
29,30,17,1,1,7.94,5,3,1,4,1,3,2,2,2,1,1,3,3,1,3,"1,5,4",1,3,3,23.82,"Học viện Âm nhạc Quốc gia Việt Nam, Trường Đại học Văn hóa - Nghệ thuật Quân Đội, Đại học Mỹ thuật Thành phố Hồ Chí Minh"
30,31,16,1,1,9.41,4,3,5,2,2,1,2,2,3,1,3,1,2,1,1,"2,7,6",2,1,4,28.23,
31,32,18,1,3,8.5,1,4,3,3,1,3,1,2,3,3,3,1,2,1,1,"5,1,2",8,5,1,25.5,"Đại học Quốc gia Hà Nội, Đại học Kinh tế TP. HCM, Đại học Khoa học Tự nhiên - ĐHQG TP Hồ Chí Minh"
32,33,19,2,3,9.09,4,1,4,4,3,3,1,2,3,3,2,2,2,2,1,"7,4,2",5,8,11,27.27,"Trường Đại học Kinh tế Quốc dân, Trường Đại học Văn hóa Hà Nội, Học viện Ngoại giao, Trường Đại học Sư phạm Nghệ thuật Trung ương, Đại học Kinh tế TP. HCM, Đại học Ngoại thương (Cơ sở TP.HCM)"
33,34,17,2,3,9.33,5,3,5,2,1,3,1,2,3,3,2,3,2,3,1,"1,2,8",2,1,4,27.990000000000002,
34,35,17,2,1,7.5,2,4,5,4,2,1,2,3,3,3,1,1,1,3,3,"4,3,7",6,4,5,22.5,"Đại học Thăng Long, Học viện phụ nữ Việt Nam, Trường Đại học Kinh doanh và Công nghệ Hà Nội, Đại học Ngân hàng TP. HCM"
35,36,16,2,4,9.45,5,1,1,5,1,1,1,2,1,3,2,3,3,1,2,"4,5,6",1,3,3,28.349999999999998,Trường Đại học Mỹ thuật Việt Nam
36,37,19,2,3,7.24,5,3,4,5,1,3,3,2,1,3,2,3,1,3,3,"4,7,3",9,8,1,21.72,"Trường Đại học Mỏ - Địa chất, Học viện Nông nghiệp Việt Nam, Trường Đại học Giao thông Vận tải, Trường Đại học Sư phạm Kỹ thuật Hưng Yên, Trường Đại học Y tế công cộng, Trường Đại học Việt Đức, Trường Đại học Công nghệ thông tin và Truyền thông Việt Hàn, Đại học FPT Hồ Chí Minh, Đại học Mở Thành phố Hồ Chí Minh"
37,38,17,1,2,8.77,4,2,4,1,1,3,2,1,2,2,2,3,2,1,1,"8,1,2",2,1,4,26.31,
38,39,18,1,4,9.25,2,2,2,2,2,3,3,3,2,1,2,1,3,2,3,"3,1,5",1,3,3,27.75,Trường Đại học Mỹ thuật Việt Nam
39,40,18,2,5,7.98,5,3,4,1,1,1,1,1,1,3,2,2,3,1,3,"8,6,1",10,2,2,23.94,"Đại học Quốc gia Hà Nội, Đại học Bách khoa Hà Nội, Học viện Công nghệ Bưu chính Viễn thông, Học viện Nông nghiệp Việt Nam, Trường Đại học Giao thông Vận tải, Trường Đại học Sư phạm Kỹ thuật Hưng Yên, Trường Đại học Dược Hà Nội, Trường Đại học Khoa học và Công nghệ Hà Nội, Trường Đại học Kinh doanh và Công nghệ Hà Nội, Đại học Bách Khoa - ĐHQG TP.HCM, Đại học Sư phạm Kỹ thuật TP.HCM, Đại học Công nghiệp Thành phố Hồ Chí Minh, Đại học Luật TP.HCM, Đại học Việt - Đức"
40,41,17,2,1,8.17,3,4,2,1,3,2,1,2,3,2,2,3,2,2,3,"6,2,1",9,8,1,24.509999999999998,"Đại học Quốc gia Hà Nội, Trường Đại học Giao thông Vận tải, Trường Đại học Sư phạm Kỹ thuật Hưng Yên, Trường Đại học Thủy Lợi, Trường Đại học Khoa học và Công nghệ Hà Nội, Đại học Thăng Long, Trường Đại học Kinh doanh và Công nghệ Hà Nội, Đại học Sư phạm Kỹ thuật TP.HCM, Đại học Công nghiệp Thành phố Hồ Chí Minh, Đại học Khoa học Tự nhiên - ĐHQG TP Hồ Chí Minh, Đại học Quốc tế - ĐH Quốc gia TP.HCM"
41,42,16,1,2,7.98,3,4,2,4,1,3,2,3,3,2,3,1,1,3,2,"8,1,3",6,4,5,23.94,"Đại học Quốc gia Hà Nội, Trường Đại học Luật Hà Nội, Trường Đại học Mở Hà Nội, Học viện Báo chí và Tuyên truyền, Trường Đại học Kinh doanh và Công nghệ Hà Nội"
42,43,16,1,3,9.39,3,2,3,5,1,2,1,2,1,3,1,2,1,3,3,"1,7,2",4,8,5,28.17,"Đại học Quốc gia Hà Nội, Trường Đại học Kinh tế Quốc dân"
43,44,18,1,5,8.27,2,1,2,4,1,2,3,3,2,3,2,3,2,1,2,"5,7,4",2,1,4,24.81,
44,45,17,1,1,8.38,4,2,2,4,1,2,2,1,2,3,2,2,1,2,1,"3,2,4",4,8,5,25.14,"Học viện Công nghệ Bưu chính Viễn thông, Đại học Khoa học Xã hội và Nhân văn - ĐHQG TP.HCM"
45,46,18,1,5,7.17,5,4,2,5,2,2,3,2,1,1,2,2,1,3,3,"1,6,8",10,2,2,21.509999999999998,"Học viện Công nghệ Bưu chính Viễn thông, Học viện Nông nghiệp Việt Nam, Trường Đại học Sư phạm Kỹ thuật Hưng Yên, Trường Đại học Điện lực, Trường Đại học Kinh doanh và Công nghệ Hà Nội, Trường Đại học Sư phạm Kỹ thuật – ĐH Đà Nẵng, Đại học Sư phạm Kỹ thuật TP.HCM, Đại học Công nghiệp Thành phố Hồ Chí Minh, Đại học Nông Lâm Thành phố Hồ Chí Minh, Đại học Cần Thơ"
46,47,17,2,1,8.4,1,3,3,4,3,3,2,1,3,3,3,1,2,3,1,"6,7,4",6,4,5,25.200000000000003,"Đại học Quốc gia Hà Nội, Trường Đại học Luật Hà Nội, Trường Đại học Văn hóa Hà Nội, Học viện Báo chí và Tuyên truyền, Trường Đại học Kinh doanh và Công nghệ Hà Nội, Trường Đại học Luật Hà Nội – Phân hiệu tại Đắk Lắk, Đại học Kinh tế - Luật (ĐH Quốc gia TP.HCM), Đại học Tôn Đức Thắng"
47,48,19,2,2,8.77,3,5,1,5,1,1,1,3,1,3,1,3,2,3,3,"7,1,1",1,3,3,26.31,"Trường Đại học Mỹ thuật Việt Nam, Đại học Kiến trúc Thành phố Hồ Chí Minh"
48,49,17,2,1,8.32,1,4,2,1,3,1,2,1,1,2,3,3,2,2,3,"4,7,6",2,1,4,24.96,
49,50,18,1,1,8.62,4,4,1,1,2,1,3,3,2,2,3,2,3,1,3,"3,1,8",6,4,5,25.86,"Đại học Quốc gia Hà Nội, Trường Đại học Luật Hà Nội, Trường Đại học Văn hóa Hà Nội, Trường Đại học Thương mại, Học viện Báo chí và Tuyên truyền, Học viện Ngoại giao, Trường Đại học Kinh doanh và Công nghệ Hà Nội, Học viện Chính sách và Phát triển, Trường Đại học Luật Hà Nội – Phân hiệu tại Đắk Lắk, Đại học Ngoại thương (Cơ sở TP.HCM), Đại học Kinh tế - Luật (ĐH Quốc gia TP.HCM), Đại học Tôn Đức Thắng"
50,51,17,2,5,7.75,3,3,1,2,2,3,3,1,1,2,2,1,2,2,1,"1,6,8",5,8,11,23.25,"Trường Đại học Văn hóa Hà Nội, Trường Đại học Điện lực, Trường Đại học Tài nguyên và Môi trường Hà Nội, Học viện phụ nữ Việt Nam, Trường Đại học Kinh doanh và Công nghệ Hà Nội, Trường Đại học Sư phạm Nghệ thuật Trung ương, Phân hiệu Học viện Hành chính Quốc gia tại Quảng Nam, Đại học Sư phạm Kỹ thuật TP.HCM, Đại học Công nghiệp Thành phố Hồ Chí Minh, Đại học Kinh tế - Tài chính TP.HCM, Đại học Ngân hàng TP. HCM, Đại học Tài chính - Marketing, Đại học Mở Thành phố Hồ Chí Minh, Đại học Việt - Đức"
51,52,16,2,2,7.51,5,1,3,5,3,3,1,1,2,1,3,2,3,1,3,"8,6,3",1,3,3,22.53,"Trường Đại học Mỹ thuật Công nghiệp, Học viện Âm nhạc Quốc gia Việt Nam, Trường Đại học Văn hóa - Nghệ thuật Quân Đội, Đại học Mỹ thuật Thành phố Hồ Chí Minh, Đại học Sân khấu - Điện ảnh Thành phố Hồ Chí Minh"
52,53,18,2,1,9.14,3,4,1,1,3,2,1,1,1,1,2,2,2,2,1,"7,8,3",16,5,9,27.42,"Đại học Quốc gia Hà Nội, Trường Đại học Y Hà Nội, Đại học Thái Nguyên, Đại học Y Dược TP.HCM, Đại học Y khoa Phạm Ngọc Thạch"
53,54,19,1,4,7.74,1,3,4,1,2,1,1,2,1,1,2,1,1,3,1,"3,7,1",2,1,4,23.22,"Trường Đại học Xây dựng Hà Nội, Trường Đại học Kinh doanh và Công nghệ Hà Nội"
54,55,18,2,1,9.04,1,2,5,4,3,2,3,2,3,3,2,3,1,3,1,"5,2,6",8,5,1,27.119999999999997,Đại học Bách khoa Hà Nội
55,56,19,2,2,7.56,3,5,4,4,2,2,1,2,3,3,1,3,1,1,1,"2,4,8",3,1,2,22.68,"Trường Đại học Mỏ - Địa chất, Trường Đại học Tài nguyên và Môi trường Hà Nội, Học viện phụ nữ Việt Nam, Trường Đại học Kinh doanh và Công nghệ Hà Nội, Đại học Ngân hàng TP. HCM"
56,57,16,1,4,8.11,4,4,1,4,1,3,3,3,3,2,3,1,3,1,2,"3,2,6",16,5,9,24.33,"Đại học Quốc gia Hà Nội, Trường Đại học Y Hà Nội, Đại học Thái Nguyên, Trường Đại học Kinh doanh và Công nghệ Hà Nội, Trường Đại học Y Dược - ĐH Huế, Khoa Y Dược – ĐH Đà Nẵng, Trường Đại học Kỹ thuật Y Dược Đà Nẵng, Trường Đại học Tây Nguyên, Đại học Y Dược Cần Thơ, Đại học Cần Thơ"
57,58,17,1,4,9.32,4,4,5,1,1,2,2,1,2,2,1,1,2,3,3,"8,5,6",5,8,11,27.96,"Trường Đại học Kinh tế Quốc dân, Học viện Ngoại giao, Trường Đại học Ngoại Thương, Trường Đại học Sư phạm Nghệ thuật Trung ương"
58,59,19,2,2,8.66,4,1,3,3,3,3,1,3,1,1,2,3,2,1,3,"2,5,8",21,6,7,25.98,"Đại học Quốc gia Hà Nội, Đại học Thái Nguyên, Trường Đại học Sư phạm Hà Nội 2, Trường Đại học Tây Bắc, Trường Đại học Mỹ thuật Việt Nam, Trường Đại học Ngoại ngữ - ĐH Huế, Trường Đại học Sư phạm - ĐH Huế, Trường Đại học Ngoại ngữ - ĐH Đà Nẵng, Trường Đại học Đà Lạt, Trường Đại học Tây Nguyên, Trường Đại học Vinh"
59,60,18,1,1,7.53,3,3,3,3,2,3,2,2,3,2,3,1,3,1,3,"5,1,6",11,2,6,22.59,"Trường Đại học Mỏ - Địa chất, Học viện Công nghệ Bưu chính Viễn thông, Trường Đại học Xây dựng Hà Nội, Trường Đại học Kiến trúc Hà Nội, Trường Đại học Bách Khoa - ĐH Đà Nẵng, Đại học Bách Khoa - ĐHQG TP.HCM, Đại học Sư phạm Kỹ thuật TP.HCM, Đại học Công nghiệp Thành phố Hồ Chí Minh, Học viện Công nghệ Bưu chính Viễn thông (Cơ sở phía Nam)"
60,61,19,2,4,7.76,4,1,5,5,3,3,3,2,3,3,1,3,1,2,1,"1,2,8",10,2,2,23.28,"Đại học Quốc gia Hà Nội, Học viện Công nghệ Bưu chính Viễn thông, Học viện Nông nghiệp Việt Nam, Trường Đại học Giao thông Vận tải, Trường Đại học Sư phạm Kỹ thuật Hưng Yên, Trường Đại học Khoa học và Công nghệ Hà Nội, Trường Đại học Kinh doanh và Công nghệ Hà Nội, Trường Đại học Sư phạm Kỹ thuật – ĐH Đà Nẵng, Đại học Bách Khoa - ĐHQG TP.HCM, Đại học Sư phạm Kỹ thuật TP.HCM, Đại học Công nghiệp Thành phố Hồ Chí Minh, Đại học Nông Lâm Thành phố Hồ Chí Minh, Đại học Luật TP.HCM, Đại học Việt - Đức"
61,62,17,1,4,8.76,4,2,2,4,2,2,3,1,3,3,1,1,3,2,3,"1,4,7",6,4,5,26.28,"Đại học Quốc gia Hà Nội, Trường Đại học Luật Hà Nội, Trường Đại học Văn hóa Hà Nội, Học viện Ngoại giao, Học viện Chính sách và Phát triển, Trường Đại học Luật Hà Nội – Phân hiệu tại Đắk Lắk, Đại học Ngoại thương (Cơ sở TP.HCM), Đại học Tôn Đức Thắng"
62,63,19,1,2,7.31,2,1,3,2,2,1,3,1,3,3,3,3,1,2,1,"5,8,3",1,3,3,21.93,"Trường Đại học Mỹ thuật Công nghiệp, Học viện Âm nhạc Quốc gia Việt Nam, Trường Đại học Văn hóa - Nghệ thuật Quân Đội, Đại học Mỹ thuật Thành phố Hồ Chí Minh, Đại học Sân khấu - Điện ảnh Thành phố Hồ Chí Minh"
63,64,16,2,5,8.82,2,5,5,4,2,3,2,3,2,2,1,3,2,1,2,"5,1,6",4,8,5,26.46,"Đại học Quốc gia Hà Nội, Học viện Công nghệ Bưu chính Viễn thông, Trường Đại học Văn hóa Hà Nội"
64,65,17,2,1,9.35,2,5,2,3,3,1,3,2,1,3,3,3,2,2,2,"2,7,1",1,3,3,28.049999999999997,Trường Đại học Mỹ thuật Việt Nam
65,66,17,1,3,8.34,4,3,4,5,3,1,1,2,1,1,2,3,1,2,3,"3,1,2",21,6,7,25.02,"Đại học Quốc gia Hà Nội, Đại học Thái Nguyên, Trường Đại học Sư phạm Hà Nội 2, Trường Đại học Tây Bắc, Trường Đại học Ngoại ngữ - ĐH Huế, Trường Đại học Sư phạm - ĐH Huế, Trường Đại học Ngoại ngữ - ĐH Đà Nẵng, Trường Đại học Đà Lạt, Trường Đại học Khánh Hòa, Trường Đại học Quy Nhơn, Trường Đại học Tây Nguyên, Trường Đại học Vinh, Đại học Sư phạm TP. HCM"
66,67,16,2,4,7.97,4,4,3,4,3,3,3,3,2,1,3,2,3,3,3,"8,6,1",8,5,1,23.91,"Trường Đại học Khoa học và Công nghệ Hà Nội, Đại học Khoa học Tự nhiên - ĐHQG TP Hồ Chí Minh"
67,68,17,2,1,7.8,1,1,1,5,2,1,1,3,3,3,2,1,2,3,3,"7,1,8",1,3,3,23.4,"Trường Đại học Mỹ thuật Công nghiệp, Học viện Âm nhạc Quốc gia Việt Nam, Trường Đại học Văn hóa - Nghệ thuật Quân Đội, Đại học Mỹ thuật Thành phố Hồ Chí Minh"
68,69,18,1,1,8.2,1,3,5,2,3,2,3,3,3,3,3,3,1,1,3,"7,5,1",1,3,3,24.599999999999998,"Học viện Âm nhạc Quốc gia Việt Nam, Trường Đại học Văn hóa - Nghệ thuật Quân Đội, Đại học Kiến trúc Thành phố Hồ Chí Minh"
69,70,16,1,3,7.58,5,4,5,5,3,1,3,3,2,1,2,1,1,3,3,"1,6,8",2,1,4,22.740000000000002,"Trường Đại học Xây dựng Hà Nội, Trường Đại học Kinh doanh và Công nghệ Hà Nội"
70,71,17,2,4,7.03,3,1,5,5,2,2,3,2,1,1,2,2,3,3,3,"7,4,5",18,3,8,21.09,"Trường Đại học Xây dựng Hà Nội, Trường Đại học Kiến trúc Hà Nội"
71,72,19,2,5,8.32,3,4,4,4,2,3,1,2,3,2,2,2,1,3,1,"1,4,5",11,2,6,24.96,"Đại học Quốc gia Hà Nội, Đại học Bách khoa Hà Nội, Học viện Công nghệ Bưu chính Viễn thông, Trường Đại học Giao thông Vận tải, Trường Đại học Bách Khoa - ĐH Đà Nẵng, Đại học Bách Khoa - ĐHQG TP.HCM, Đại học Công nghệ Thông tin - ĐH Quốc gia TP.HCM, Đại học Sư phạm Kỹ thuật TP.HCM, Đại học Công nghiệp Thành phố Hồ Chí Minh"
72,73,17,2,1,9.2,3,1,5,3,1,2,3,2,1,1,2,3,3,2,1,"1,2,6",1,3,3,27.599999999999998,Trường Đại học Mỹ thuật Việt Nam
73,74,17,1,1,8.23,5,4,4,1,1,2,2,3,3,3,2,2,3,2,2,"6,1,5",2,1,4,24.69,
74,75,19,1,5,7.31,1,1,3,3,3,1,3,3,3,2,3,3,2,1,3,"4,2,7",16,5,9,21.93,"Trường Đại học Y Hà Nội, Đại học Thái Nguyên, Trường Đại học Kinh doanh và Công nghệ Hà Nội, Trường Đại học Y Dược - ĐH Huế, Khoa Y Dược – ĐH Đà Nẵng, Trường Đại học Kỹ thuật Y Dược Đà Nẵng, Trường Đại học Phan Châu Trinh, Trường Đại học Tây Nguyên, Trường Đại học Y Dược Buôn Ma Thuột, Trường Đại học Y khoa Vinh, Đại học Quốc tế Hồng Bàng, Đại học Y Dược Cần Thơ, Đại học Cần Thơ, Đại học Trà Vinh"
75,76,18,2,3,8.63,1,3,4,5,2,3,2,3,2,3,2,3,3,2,1,"1,3,1",4,8,5,25.89,"Đại học Quốc gia Hà Nội, Học viện Công nghệ Bưu chính Viễn thông, Trường Đại học Văn hóa Hà Nội, Đại học Khoa học Xã hội và Nhân văn - ĐHQG TP.HCM"
76,77,16,1,4,9.33,4,5,4,5,2,3,1,2,1,1,3,1,1,1,2,"1,2,1",3,1,2,27.990000000000002,Trường Đại học Kinh tế Quốc dân
77,78,16,2,5,9.07,4,3,5,2,3,2,2,1,1,3,3,2,1,3,1,"8,1,6",15,5,12,27.21,
78,79,16,1,2,8.28,3,1,3,5,1,1,1,2,3,3,3,1,1,2,2,"4,5,1",15,5,12,24.839999999999996,
79,80,16,2,4,8.5,4,2,5,5,1,1,1,1,3,2,1,2,2,2,1,"7,1,1",1,3,3,25.5,"Trường Đại học Văn hóa - Nghệ thuật Quân Đội, Đại học Kiến trúc Thành phố Hồ Chí Minh"
80,81,16,2,3,9.29,5,2,2,4,3,3,1,2,2,1,3,2,3,3,3,"1,2,1",1,3,3,27.869999999999997,Trường Đại học Mỹ thuật Việt Nam
81,82,16,1,2,8.3,5,4,3,2,3,2,1,1,3,2,1,1,1,1,2,"6,8,1",2,1,4,24.900000000000002,
82,83,17,2,2,7.14,4,4,1,4,1,2,3,3,3,3,2,1,3,3,3,"8,1,4",8,5,1,21.419999999999998,
83,84,19,1,2,8.35,5,4,4,2,2,2,3,2,3,2,1,2,3,3,2,"3,1,2",5,8,11,25.049999999999997,"Học viện Ngân hàng, Trường Đại học Giao thông Vận tải, Trường Đại học Văn hóa Hà Nội, Trường Đại học Tài nguyên và Môi trường Hà Nội, Trường Đại học Kinh doanh và Công nghệ Hà Nội, Trường Đại học Sư phạm Nghệ thuật Trung ương, Trường Đại học Kinh tế - ĐH Đà Nẵng, Đại học Công nghiệp Thành phố Hồ Chí Minh, Đại học Kinh tế TP. HCM, Đại học Kinh tế - Luật (ĐH Quốc gia TP.HCM), Đại học Tôn Đức Thắng, Đại học Quốc tế - ĐH Quốc gia TP.HCM"
84,85,17,1,3,9.16,3,2,2,3,3,1,2,1,1,1,2,2,2,1,1,"1,7,6",4,8,5,27.48,"Đại học Quốc gia Hà Nội, Trường Đại học Kinh tế Quốc dân, Trường Đại học Văn hóa Hà Nội"
