,Id,Age,Gender,Departments,Score,Average Score,Communication Skills,Teamwork Skills,Management Skills,Critical Thinking,Computer Skills,Language Skills,Machine Operation Skills,Data Analysis Skills,Sales and Marketing Skills,Writing Skills,Financial Skills,Project Management Skills,Medical Skills,Annual Tuition Budget,Preferred Location,Key Factors for Future Job,Major,Habit,Field of Interest,,
39,40,18,2,5,15.96,7.98,5,3,4,1,1,1,1,1,1,3,2,2,3,1,3,"8,6,1",10,2,2,,
40,41,17,2,1,16.34,8.17,3,4,2,1,3,2,1,2,3,2,2,3,2,2,3,"6,2,1",9,8,1,,
41,42,16,1,2,15.96,7.98,3,4,2,4,1,3,2,3,3,2,3,1,1,3,2,"8,1,3",6,4,5,,
42,43,16,1,3,18.78,9.39,3,2,3,5,1,2,1,2,1,3,1,2,1,3,3,"1,7,2",4,8,5,,
43,44,18,1,5,16.54,8.27,2,1,2,4,1,2,3,3,2,3,2,3,2,1,2,"5,7,4",2,1,4,,
44,45,17,1,1,16.76,8.38,4,2,2,4,1,2,2,1,2,3,2,2,1,2,1,"3,2,4",4,8,5,,
45,46,18,1,5,14.34,7.17,5,4,2,5,2,2,3,2,1,1,2,2,1,3,3,"1,6,8",10,2,2,,
46,47,17,2,1,16.8,8.4,1,3,3,4,3,3,2,1,3,3,3,1,2,3,1,"6,7,4",6,4,5,,
47,48,19,2,2,17.54,8.77,3,5,1,5,1,1,1,3,1,3,1,3,2,3,3,"7,1,1",1,3,3,,
48,49,17,2,1,16.64,8.32,1,4,2,1,3,1,2,1,1,2,3,3,2,2,3,"4,7,6",2,1,4,,
49,50,18,1,1,17.24,8.62,4,4,1,1,2,1,3,3,2,2,3,2,3,1,3,"3,1,8",6,4,5,,
50,51,17,2,5,15.5,7.75,3,3,1,2,2,3,3,1,1,2,2,1,2,2,1,"1,6,8",5,8,11,,
51,52,16,2,2,15.02,7.51,5,1,3,5,3,3,1,1,2,1,3,2,3,1,3,"8,6,3",1,3,3,,
52,53,18,2,1,18.28,9.14,3,4,1,1,3,2,1,1,1,1,2,2,2,2,1,"7,8,3",16,5,9,,
53,54,19,1,4,15.48,7.74,1,3,4,1,2,1,1,2,1,1,2,1,1,3,1,"3,7,1",2,1,4,,
54,55,18,2,1,18.08,9.04,1,2,5,4,3,2,3,2,3,3,2,3,1,3,1,"5,2,6",8,5,1,,
55,56,19,2,2,15.12,7.56,3,5,4,4,2,2,1,2,3,3,1,3,1,1,1,"2,4,8",3,1,2,,
56,57,16,1,4,16.22,8.11,4,4,1,4,1,3,3,3,3,2,3,1,3,1,2,"3,2,6",16,5,9,,
57,58,17,1,4,18.64,9.32,4,4,5,1,1,2,2,1,2,2,1,1,2,3,3,"8,5,6",5,8,11,,
58,59,19,2,2,17.32,8.66,4,1,3,3,3,3,1,3,1,1,2,3,2,1,3,"2,5,8",21,6,7,,
59,60,18,1,1,15.06,7.53,3,3,3,3,2,3,2,2,3,2,3,1,3,1,3,"5,1,6",11,2,6,,
60,61,19,2,4,15.52,7.76,4,1,5,5,3,3,3,2,3,3,1,3,1,2,1,"1,2,8",10,2,2,,
61,62,17,1,4,17.52,8.76,4,2,2,4,2,2,3,1,3,3,1,1,3,2,3,"1,4,7",6,4,5,,
62,63,19,1,2,14.62,7.31,2,1,3,2,2,1,3,1,3,3,3,3,1,2,1,"5,8,3",1,3,3,,
63,64,16,2,5,17.64,8.82,2,5,5,4,2,3,2,3,2,2,1,3,2,1,2,"5,1,6",4,8,5,,
64,65,17,2,1,18.7,9.35,2,5,2,3,3,1,3,2,1,3,3,3,2,2,2,"2,7,1",1,3,3,,
65,66,17,1,3,16.68,8.34,4,3,4,5,3,1,1,2,1,1,2,3,1,2,3,"3,1,2",21,6,7,,
66,67,16,2,4,15.94,7.97,4,4,3,4,3,3,3,3,2,1,3,2,3,3,3,"8,6,1",8,5,1,,
67,68,17,2,1,15.6,7.8,1,1,1,5,2,1,1,3,3,3,2,1,2,3,3,"7,1,8",1,3,3,,
68,69,18,1,1,16.4,8.2,1,3,5,2,3,2,3,3,3,3,3,3,1,1,3,"7,5,1",1,3,3,,
69,70,16,1,3,15.16,7.58,5,4,5,5,3,1,3,3,2,1,2,1,1,3,3,"1,6,8",2,1,4,,
70,71,17,2,4,14.06,7.03,3,1,5,5,2,2,3,2,1,1,2,2,3,3,3,"7,4,5",18,3,8,,
71,72,19,2,5,16.64,8.32,3,4,4,4,2,3,1,2,3,2,2,2,1,3,1,"1,4,5",11,2,6,,
72,73,17,2,1,18.4,9.2,3,1,5,3,1,2,3,2,1,1,2,3,3,2,1,"1,2,6",1,3,3,,
73,74,17,1,1,16.46,8.23,5,4,4,1,1,2,2,3,3,3,2,2,3,2,2,"6,1,5",2,1,4,,
74,75,19,1,5,14.62,7.31,1,1,3,3,3,1,3,3,3,2,3,3,2,1,3,"4,2,7",16,5,9,,
75,76,18,2,3,17.26,8.63,1,3,4,5,2,3,2,3,2,3,2,3,3,2,1,"1,3,1",4,8,5,,
76,77,16,1,4,18.66,9.33,4,5,4,5,2,3,1,2,1,1,3,1,1,1,2,"1,2,1",3,1,2,,
77,78,16,2,5,18.14,9.07,4,3,5,2,3,2,2,1,1,3,3,2,1,3,1,"8,1,6",15,5,12,,
78,79,16,1,2,16.56,8.28,3,1,3,5,1,1,1,2,3,3,3,1,1,2,2,"4,5,1",15,5,12,,
79,80,16,2,4,17,8.5,4,2,5,5,1,1,1,1,3,2,1,2,2,2,1,"7,1,1",1,3,3,,
80,81,16,2,3,18.58,9.29,5,2,2,4,3,3,1,2,2,1,3,2,3,3,3,"1,2,1",1,3,3,,
81,82,16,1,2,16.6,8.3,5,4,3,2,3,2,1,1,3,2,1,1,1,1,2,"6,8,1",2,1,4,,
82,83,17,2,2,14.28,7.14,4,4,1,4,1,2,3,3,3,3,2,1,3,3,3,"8,1,4",8,5,1,,
83,84,19,1,2,16.7,8.35,5,4,4,2,2,2,3,2,3,2,1,2,3,3,2,"3,1,2",5,8,11,,
84,85,17,1,3,18.32,9.16,3,2,2,3,3,1,2,1,1,1,2,2,2,1,1,"1,7,6",4,8,5,,
85,86,17,2,3,17,8.5,1,4,4,2,3,2,3,1,1,2,1,1,3,1,1,"5,6,3",5,8,11,,
86,87,16,2,3,15.76,7.88,4,4,4,3,1,3,3,3,1,2,1,1,1,3,3,"1,6,3",1,3,3,,
87,88,16,1,2,18.12,9.06,3,1,1,1,3,2,3,1,2,3,3,3,1,2,3,"6,1,5",8,5,1,,
88,89,19,2,2,18.52,9.26,2,3,3,5,3,3,1,1,1,2,3,2,1,1,1,"1,2,3",21,6,7,,
89,90,19,1,4,17.94,8.97,3,3,4,1,2,2,1,2,2,3,2,2,2,1,3,"2,1,6",4,8,5,,
90,91,18,2,2,15.04,7.52,1,1,2,1,3,1,3,1,1,2,2,3,2,1,1,"1,6,4",15,5,12,,
91,92,18,1,3,17.92,8.96,1,5,5,5,1,1,3,3,2,3,1,2,1,2,2,"4,7,5",10,2,2,,
92,93,18,1,5,14.44,7.22,2,1,4,4,3,3,3,3,3,1,3,2,2,2,1,"8,6,2",1,3,3,,
93,94,17,2,1,15.24,7.62,5,4,4,1,2,1,2,2,1,2,1,2,3,2,1,"3,8,7",10,2,2,,
94,95,16,2,1,14.8,7.4,3,4,5,4,2,1,3,1,3,1,3,1,2,3,1,"2,3,8",8,5,1,,
95,96,17,1,3,14.68,7.34,3,2,2,1,3,1,2,3,1,1,3,3,1,2,2,"5,7,8",2,1,4,,
96,97,18,2,4,17.9,8.95,2,5,1,5,2,2,3,2,3,1,3,1,1,2,3,"6,3,5",2,1,4,,
97,98,17,2,3,14.5,7.25,1,5,3,1,1,3,3,1,1,3,3,1,1,1,2,"8,1,5",2,1,4,,
98,99,19,1,1,14.18,7.09,1,5,4,1,3,3,1,2,2,3,2,3,2,3,1,"4,3,1",8,5,1,,
99,100,19,2,2,16.04,8.02,5,5,3,2,1,2,1,1,3,3,3,1,3,1,2,"1,8,7",8,5,1,,
100,101,16,1,3,15.42,7.71,2,3,1,5,2,3,3,2,2,3,3,2,1,2,2,"6,1,7",1,3,3,,
101,102,19,1,2,18.44,9.22,2,4,2,2,2,2,1,1,3,3,1,1,2,2,3,"5,4,2",4,8,5,,
102,103,16,1,3,14.92,7.46,2,5,4,5,3,3,2,2,3,1,2,1,2,3,3,"4,2,3",9,8,1,,
103,104,17,2,3,18.68,9.34,5,1,5,1,2,1,2,1,3,1,1,1,2,1,3,"3,4,1",3,1,2,,
104,105,17,2,3,15.62,7.81,3,2,1,4,2,1,3,1,3,2,1,1,3,1,2,"4,7,1",4,8,5,,
105,106,19,1,4,17.12,8.56,1,1,4,5,3,1,2,1,1,2,2,3,2,2,1,"3,7,5",3,1,2,,
106,107,17,2,1,16.56,8.28,1,3,3,1,2,3,2,2,2,3,2,3,2,2,1,"7,5,4",5,8,11,,
107,108,16,2,2,18.78,9.39,1,5,5,3,1,3,2,1,3,3,3,1,3,3,2,"1,4,8",2,1,4,,
108,109,19,2,1,16.14,8.07,2,4,3,3,1,1,2,1,3,1,1,3,1,2,3,"5,1,2",1,3,3,,
109,110,16,1,4,18.26,9.13,3,1,2,5,3,2,3,2,3,3,2,1,1,3,2,"7,5,6",6,4,5,,
110,111,17,2,1,17.98,8.99,4,3,4,3,3,2,3,1,1,1,3,1,3,1,1,"6,5,7",16,5,9,,
111,112,18,2,1,15.48,7.74,5,5,2,4,2,1,1,3,2,3,3,2,3,2,1,"7,2,5",6,4,5,,
112,113,17,1,2,17.92,8.96,5,3,1,1,2,2,3,3,3,3,3,1,3,1,3,"5,7,1",6,4,5,,
113,114,19,1,1,14.58,7.29,2,2,1,1,3,2,1,1,1,2,2,2,3,1,1,"7,1,4",11,2,6,,
114,115,18,2,4,15.28,7.64,5,3,4,3,1,1,1,2,1,3,2,1,2,1,1,"4,7,3",4,8,5,,
115,116,19,1,2,14.28,7.14,5,3,5,4,3,2,3,2,1,2,3,3,1,3,2,"4,7,1",15,5,12,,
116,117,16,1,3,14.74,7.37,2,4,3,5,2,2,1,2,2,3,2,1,1,2,2,"1,1,2",21,6,7,,
117,118,18,2,1,17.02,8.51,2,2,1,5,3,1,2,3,2,1,1,2,1,2,1,"5,7,2",16,5,9,,
118,119,16,1,5,15.14,7.57,4,1,4,1,3,2,1,1,1,3,3,2,1,3,3,"4,1,1",11,2,6,,
119,120,19,2,1,18.1,9.05,1,2,1,3,1,1,1,3,2,3,1,2,3,3,2,"4,2,5",1,3,3,,
120,121,18,2,4,15.14,7.57,3,3,5,3,1,3,2,3,2,1,1,1,1,3,2,"1,1,2",16,5,9,,
121,122,16,2,2,14.74,7.37,3,1,3,2,2,3,3,2,3,3,2,2,2,2,1,"5,6,4",15,5,12,,
122,123,16,1,2,16.44,8.22,3,4,1,3,1,1,3,3,3,2,3,3,1,2,1,"6,1,8",6,4,5,,
123,124,18,1,2,15.52,7.76,2,2,3,2,3,1,2,1,1,3,3,1,2,1,3,"7,2,4",9,8,1,,
124,125,17,1,3,17.92,8.96,5,3,2,5,3,2,3,3,2,3,1,1,1,3,2,"6,4,1",2,1,4,,
125,126,18,1,3,17.38,8.69,2,4,1,3,3,1,1,2,3,3,3,1,1,3,2,"6,1,5",1,3,3,,
126,127,18,2,4,18.02,9.01,2,3,1,1,1,3,1,1,2,1,3,2,1,1,1,"4,8,1",21,6,7,,
127,128,17,1,3,16.06,8.03,4,4,2,3,2,2,1,1,1,1,3,1,1,3,3,"5,3,1",5,8,11,,
128,129,18,2,1,16.06,8.03,4,2,1,5,2,2,1,3,3,1,2,2,1,1,1,"8,7,5",5,8,11,,
129,130,16,2,1,18.22,9.11,5,2,5,3,1,3,1,3,3,3,3,3,2,3,1,"7,2,4",10,2,2,,
130,131,19,2,1,18.76,9.38,4,5,2,2,3,2,2,3,2,3,3,1,2,3,3,"4,3,1",10,2,2,,
131,132,18,1,5,18.62,9.31,3,5,2,5,3,1,3,2,3,3,3,2,2,2,2,"5,1,4",21,6,7,,
132,133,19,2,2,17.36,8.68,4,1,1,4,2,2,2,2,1,2,1,1,3,2,1,"3,4,2",6,4,5,,
133,134,18,2,1,15.78,7.89,1,3,4,5,2,1,3,2,2,3,3,1,2,3,1,"7,6,1",2,1,4,,
134,135,16,2,2,18.12,9.06,3,5,4,1,1,2,1,1,2,1,1,1,2,1,3,"1,2,6",21,6,7,,
135,136,16,1,1,16.08,8.04,3,2,3,2,2,1,3,1,1,3,2,2,3,3,1,"3,6,4",11,2,6,,
136,137,19,1,3,14.54,7.27,5,2,3,2,1,1,1,1,3,2,2,2,3,3,1,"3,1,6",1,3,3,,
137,138,17,2,1,18.22,9.11,2,5,3,1,3,3,1,1,1,2,3,3,3,1,1,"6,3,5",5,8,11,,
138,139,16,1,3,17.2,8.6,4,5,1,4,3,1,3,1,1,3,2,1,2,2,3,"7,6,3",4,8,5,,
139,140,18,2,2,16.82,8.41,4,3,3,3,1,3,2,3,3,2,2,1,2,1,1,"6,8,3",2,1,4,,
140,141,19,2,3,17.74,8.87,4,3,1,1,2,2,3,1,1,1,1,1,2,2,1,"1,7,1",1,3,3,,
141,142,17,1,2,16.9,8.45,2,1,1,1,2,1,2,1,2,1,3,3,1,3,1,"6,3,5",2,1,4,,
142,143,19,2,4,16.98,8.49,5,4,2,4,1,2,3,3,3,2,1,3,2,2,1,"8,6,7",15,5,12,,
143,144,18,1,2,18.16,9.08,4,5,1,3,3,1,2,2,2,2,3,2,3,3,3,"5,6,1",3,1,2,,
144,145,16,2,1,14.16,7.08,5,3,4,3,1,3,3,2,3,1,3,1,3,2,2,"2,5,8",4,8,5,,
145,146,16,1,3,16.72,8.36,1,1,3,1,1,1,1,1,2,3,3,3,1,3,1,"4,3,5",1,3,3,,
146,147,17,2,4,16.6,8.3,1,4,1,2,2,3,1,3,2,2,1,3,3,1,2,"1,2,4",2,1,4,,
147,148,18,2,1,18.52,9.26,1,3,4,2,1,2,1,2,3,1,2,1,1,2,3,"1,5,1",9,8,1,,
148,149,16,2,5,14.82,7.41,3,3,5,2,2,3,1,3,3,1,3,3,3,2,2,"8,3,7",3,1,2,,
149,150,18,2,2,18.9,9.45,2,2,1,5,3,1,1,1,2,1,1,2,3,1,3,"1,7,1",3,1,2,,
150,151,16,2,5,14.58,7.29,1,3,4,3,3,1,1,3,1,3,2,1,2,1,2,"3,2,1",1,3,3,,
151,152,16,1,1,17.02,8.51,5,3,4,3,1,1,3,3,3,2,3,3,1,3,2,"5,6,2",11,2,6,,
152,153,16,2,2,15.5,7.75,4,1,3,3,2,1,3,1,3,1,3,1,2,2,2,"2,8,4",6,4,5,,
153,154,16,2,2,18.26,9.13,2,5,3,3,2,1,1,1,2,1,3,2,1,3,3,"4,6,8",1,3,3,,
154,155,16,1,5,17.8,8.9,5,1,2,1,1,1,2,3,3,2,2,3,1,3,3,"3,1,4",16,5,9,,
155,156,17,2,1,18.28,9.14,5,2,5,2,2,2,2,2,3,1,1,1,1,3,3,"1,8,2",5,8,11,,
156,157,18,2,5,14.58,7.29,4,2,3,5,1,2,2,1,2,1,2,3,1,3,1,"4,5,3",18,3,8,,
157,158,17,2,4,18.92,9.46,2,1,2,5,2,2,1,2,1,2,3,2,3,2,3,"1,8,5",8,5,1,,
158,159,19,2,3,14.38,7.19,1,1,1,2,3,3,2,2,1,1,2,2,3,1,1,"2,7,5",1,3,3,,
159,160,17,2,3,15.92,7.96,2,1,4,5,1,2,3,2,2,1,3,2,2,1,3,"5,1,3",6,4,5,,
160,161,17,1,1,14.5,7.25,2,4,5,3,3,2,2,2,3,3,1,3,3,2,3,"4,1,3",4,8,5,,
161,162,18,2,3,16.42,8.21,3,3,5,3,3,1,1,2,3,1,2,1,2,1,1,"2,8,5",1,3,3,,
162,163,16,2,1,14.16,7.08,4,5,2,3,1,3,3,1,2,3,2,1,3,3,1,"1,3,2",4,8,5,,
163,164,18,2,4,17.4,8.7,5,4,5,3,2,2,1,3,1,2,1,3,1,2,3,"3,7,5",4,8,5,,
164,165,16,2,3,18.9,9.45,5,4,3,4,1,3,1,1,3,1,3,2,2,3,2,"2,5,4",1,3,3,,
165,166,17,2,1,17.96,8.98,3,2,3,3,3,2,2,3,3,1,3,2,3,3,3,"3,2,8",2,1,4,,
166,167,19,2,5,18.8,9.4,4,4,5,2,3,1,3,2,2,1,2,3,2,1,1,"4,1,2",1,3,3,,
167,168,17,1,3,14.7,7.35,3,3,5,4,2,1,2,3,1,1,3,3,3,3,2,"7,1,1",1,3,3,,
168,169,18,1,5,15.44,7.72,1,4,1,1,1,1,3,3,1,3,3,2,3,3,3,"6,5,8",8,5,1,,
169,170,16,2,1,15.4,7.7,5,5,3,5,2,3,3,3,3,2,2,3,3,3,3,"1,6,7",3,1,2,,
170,171,16,1,5,14.02,7.01,3,3,1,1,2,2,2,3,2,3,2,1,3,2,3,"1,5,6",4,8,5,,
171,172,18,2,2,14.2,7.1,5,1,2,3,3,3,1,2,1,3,3,2,3,2,2,"8,7,1",3,1,2,,
172,173,19,1,5,15.34,7.67,2,3,4,4,3,2,2,3,2,3,3,1,3,2,2,"3,8,1",4,8,5,,
173,174,19,2,1,18.6,9.3,3,1,4,1,1,3,1,3,2,1,3,2,1,3,2,"5,8,2",1,3,3,,
174,175,17,1,1,15.74,7.87,5,3,1,2,1,1,3,2,1,1,3,3,3,1,2,"1,4,7",2,1,4,,
175,176,17,2,1,16.62,8.31,1,3,2,4,1,2,3,3,3,2,3,1,3,1,2,"1,7,2",5,8,11,,
176,177,19,1,1,15.7,7.85,3,5,5,1,1,1,3,3,2,2,1,3,3,1,2,"1,2,8",10,2,2,,
177,178,16,1,5,17.68,8.84,3,1,4,2,1,3,1,3,1,3,3,2,1,2,3,"6,4,2",4,8,5,,
178,179,16,2,1,16.66,8.33,2,1,4,3,1,3,3,1,1,1,3,3,2,1,2,"5,7,2",1,3,3,,
179,180,19,2,3,15.48,7.74,1,5,2,5,2,2,1,1,1,1,2,2,1,3,2,"1,6,7",18,3,8,,
180,181,17,2,1,15.38,7.69,5,1,3,3,1,3,1,3,3,2,2,3,3,1,1,"3,2,6",16,5,9,,
181,182,18,2,2,17.12,8.56,4,4,3,2,1,3,2,2,3,2,3,2,3,3,2,"3,8,7",3,1,2,,
182,183,16,2,5,17.3,8.65,5,4,1,3,3,1,2,3,3,1,1,1,1,2,2,"1,1,3",1,3,3,,
183,184,17,2,3,15.64,7.82,2,5,3,1,2,2,3,2,3,1,2,2,3,1,3,"2,5,4",1,3,3,,
184,185,17,1,1,14.42,7.21,3,3,2,4,2,1,3,2,3,2,1,1,3,2,1,"5,4,6",2,1,4,,
185,186,19,2,1,15.48,7.74,4,1,2,5,1,2,3,3,1,3,1,2,1,2,3,"1,5,6",1,3,3,,
186,187,19,2,1,17.82,8.91,4,5,5,3,2,1,2,2,1,3,2,3,3,3,2,"3,1,2",1,3,3,,
187,188,19,2,5,14.92,7.46,3,2,5,5,2,2,1,2,1,3,1,2,2,3,1,"2,8,5",1,3,3,,
188,189,19,1,2,17.38,8.69,3,5,2,4,3,2,3,1,1,2,3,2,1,2,2,"5,2,8",5,8,11,,
189,190,17,1,5,15.38,7.69,2,4,4,5,1,2,2,3,1,1,2,2,2,1,3,"1,3,4",1,3,3,,
190,191,18,1,3,15.76,7.88,2,1,4,2,2,3,2,3,2,3,3,1,1,1,1,"3,4,1",1,3,3,,
191,192,19,2,4,16.92,8.46,4,5,4,4,3,2,2,1,1,1,2,3,1,3,3,"7,5,1",2,1,4,,
192,193,16,1,3,17.86,8.93,4,2,1,3,1,2,1,3,2,3,3,2,2,2,3,"2,7,6",2,1,4,,
193,194,16,2,1,16.7,8.35,4,5,1,1,2,1,1,2,1,2,1,2,2,1,2,"1,8,5",18,3,8,,
194,195,19,2,2,18.96,9.48,4,4,2,1,2,2,3,1,3,2,3,2,1,3,3,"3,6,1",8,5,1,,
195,196,18,1,5,15.78,7.89,4,3,5,2,1,3,1,2,1,1,1,3,2,2,1,"3,6,4",1,3,3,,
196,197,19,2,3,14.14,7.07,4,2,1,3,1,1,3,3,2,3,1,1,3,2,3,"6,5,3",4,8,5,,
197,198,19,2,1,18.22,9.11,1,5,4,5,2,2,3,3,3,3,2,2,2,3,1,"6,4,8",2,1,4,,
198,199,18,1,3,15.16,7.58,1,1,4,5,2,1,2,3,2,2,2,1,2,1,2,"6,1,1",2,1,4,,
199,200,19,1,4,18.78,9.39,5,3,1,5,1,1,1,3,1,2,1,2,3,3,3,"6,1,4",21,6,7,,
200,201,16,1,4,15.28,7.64,1,3,2,1,3,1,2,1,3,2,2,2,3,1,1,"2,5,3",4,8,5,,
201,202,18,2,3,16.22,8.11,2,2,5,4,3,3,2,2,3,3,3,1,1,3,1,"5,8,3",2,1,4,,
202,203,19,2,4,15.18,7.59,5,5,4,2,1,3,3,3,3,3,3,2,3,1,1,"2,1,1",10,2,2,,
203,204,16,1,3,15.98,7.99,3,4,3,4,3,2,1,2,1,3,2,3,2,3,1,"2,1,1",2,1,4,,
204,205,16,1,5,17.12,8.56,4,4,1,3,3,1,2,2,1,1,2,3,3,3,1,"8,3,6",6,4,5,,
205,206,16,1,2,18.58,9.29,3,2,2,2,1,1,3,3,1,2,2,3,3,1,1,"8,6,5",5,8,11,,
206,207,16,1,1,15.8,7.9,5,5,2,2,2,2,2,3,1,3,2,1,3,2,2,"2,3,7",22,4,10,,
207,208,17,1,5,15.32,7.66,3,1,1,3,1,1,1,1,3,2,3,1,1,2,1,"1,6,8",5,8,11,,
208,209,19,2,4,14.46,7.23,5,5,4,4,1,1,2,3,1,2,1,2,1,3,1,"4,7,3",21,6,7,,
209,210,18,2,1,18.42,9.21,5,4,3,5,2,2,2,2,2,3,2,1,1,1,3,"2,4,1",6,4,5,,
210,211,19,2,1,16.82,8.41,2,3,1,1,2,3,1,3,2,3,3,2,2,2,1,"4,1,2",1,3,3,,
211,212,17,1,2,17.56,8.78,5,2,4,1,1,1,2,1,3,1,1,3,3,2,2,"5,6,8",8,5,1,,
212,213,16,1,4,15.38,7.69,3,4,2,4,2,1,1,2,1,2,1,2,3,2,2,"4,3,2",9,8,1,,
213,214,16,2,5,16.18,8.09,4,5,3,5,2,2,3,2,2,1,2,2,1,1,2,"3,8,2",6,4,5,,
214,215,19,1,4,16.66,8.33,1,1,5,5,1,2,2,2,1,2,1,2,1,2,3,"8,4,5",15,5,12,,
215,216,19,2,5,18.86,9.43,1,1,4,2,2,2,1,3,3,2,3,2,1,3,2,"6,3,1",9,8,1,,
