Id,Age,Gender,Departments,Average Score,Habit,Field_of_Interest,Communication Skills,Teamwork Skills,Management Skills,Critical Thinking,Computer Skills,Language Skills,Machine Operation Skills,Data Analysis Skills,Sales and Marketing Skills,Writing Skills,Financial Skills,Project Management Skills,Medical Skills,Annual Tuition Budget,Preferred_Location,Key Factors for Future Job,Major
42,16,1,2,7.98,"2,4,6","5,7,9",3,4,2,4,1,3,2,3,3,2,3,1,1,3,2,"8,1,3",8
43,16,1,3,9.39,"1,7,8","3,5,9",3,2,3,5,1,2,1,2,1,3,1,2,1,3,3,"1,7,2",7
44,18,1,5,8.27,"3,7,1","1,10,4",2,1,2,4,1,2,3,3,2,3,2,3,2,1,2,"5,7,4",1
45,17,1,1,8.38,"8,6,3","5,7,8",4,2,2,4,1,2,2,1,2,3,2,2,1,2,1,"3,2,4",10
46,18,1,5,7.17,"5,2,6","12,2,7",5,4,2,5,2,2,3,2,1,1,2,2,1,3,3,"1,6,8",14
47,17,2,1,8.4,"5,4,6","4,5,6",1,3,3,4,3,3,2,1,3,3,3,1,2,3,1,"6,7,4",8
48,19,2,2,8.77,"3,5,6","3,5,6",3,5,1,5,1,1,1,3,1,3,1,3,2,3,3,"7,1,1",8
49,17,2,1,8.32,"1,8,7","12,6,7",1,4,2,1,3,1,2,1,1,2,3,3,2,2,3,"4,7,6",10
50,18,1,1,8.62,"7,4,6","10,5,6",4,4,1,1,2,1,3,3,2,2,3,2,3,1,3,"3,1,8",4
51,17,2,5,7.75,"8,5,2","11,4,6",3,3,1,2,2,3,3,1,1,2,2,1,2,2,1,"1,6,8",3
52,16,2,2,7.51,"3,1,2","3,4,7",5,1,3,5,3,3,1,1,2,1,3,2,3,1,3,"8,6,3",8
53,18,2,1,9.14,"5,7,6","3,4,9",3,4,1,1,3,2,1,1,1,1,2,2,2,2,1,"7,8,3",8
54,19,1,4,7.74,"1,3,6","1,4,9",1,3,4,1,2,1,1,2,1,1,2,1,1,3,1,"3,7,1",19
55,18,2,1,9.04,"6,4,5","1,4,7",1,2,5,4,3,2,3,2,3,3,2,3,1,3,1,"5,2,6",6
56,19,2,2,7.56,"1,3,7","1,11,2",3,5,4,4,2,2,1,2,3,3,1,3,1,1,1,"2,4,8",15
57,16,1,4,8.11,"2,6,5","10,4,9",4,4,1,4,1,3,3,3,3,2,3,1,3,1,2,"3,2,6",4
58,17,1,4,9.32,"8,1,5","11,6,9",4,4,5,1,1,2,2,1,2,2,1,1,2,3,3,"8,5,6",1
59,19,2,2,8.66,"5,3,6","10,4,7",4,1,3,3,3,3,1,3,1,1,2,3,2,1,3,"2,5,8",8
60,18,1,1,7.53,"6,2,1","11,12,6",3,3,3,3,2,3,2,2,3,2,3,1,3,1,3,"5,1,6",13
61,19,2,4,7.76,"5,6,2","12,2,3",4,1,5,5,3,3,3,2,3,3,1,3,1,2,1,"1,2,8",1
62,17,1,4,8.76,"7,4,6","1,2,5",4,2,2,4,2,2,3,1,3,3,1,1,3,2,3,"1,4,7",1
63,19,1,2,7.31,"1,3,6","10,11,12",2,1,3,2,2,1,3,1,3,3,3,3,1,2,1,"5,8,3",8
64,16,2,5,8.82,"8,6,5","12,5,8",2,5,5,4,2,3,2,3,2,2,1,3,2,1,2,"5,1,6",1
65,17,2,1,9.35,"2,3,8","10,3,8",2,5,2,3,3,1,3,2,1,3,3,3,2,2,2,"2,7,1",6
66,17,1,3,8.34,"5,6,7","4,5,7",4,3,4,5,3,1,1,2,1,1,2,3,1,2,3,"3,1,2",5
67,16,2,4,7.97,"4,5,1","1,3,7",4,4,3,4,3,3,3,3,2,1,3,2,3,3,3,"8,6,1",1
68,17,2,1,7.8,"3,4,7","11,12,4",1,1,1,5,2,1,1,3,3,3,2,1,2,3,3,"7,1,8",4
69,18,1,1,8.2,"4,2,3","12,7,9",1,3,5,2,3,2,3,3,3,3,3,3,1,1,3,"7,5,1",6
70,16,1,3,7.58,"8,2,1","10,3,4",5,4,5,5,3,1,3,3,2,1,2,1,1,3,3,"1,6,8",5
71,17,2,4,7.03,"7,3,8","7,8,9",3,1,5,5,2,2,3,2,1,1,2,2,3,3,3,"7,4,5",6
72,19,2,5,8.32,"7,2,3","5,6,9",3,4,4,4,2,3,1,2,3,2,2,2,1,3,1,"1,4,5",14
73,17,2,1,9.2,"3,6,7","1,11,9",3,1,5,3,1,2,3,2,1,1,2,3,3,2,1,"1,2,6",13
74,17,1,1,8.23,"3,1,5","2,4,9",5,4,4,1,1,2,2,3,3,3,2,2,3,2,2,"6,1,5",10
75,19,1,5,7.31,"6,7,5","10,6,9",1,1,3,3,3,1,3,3,3,2,3,3,2,1,3,"4,2,7",2
76,18,2,3,8.63,"8,6,7","1,10,5",1,3,4,5,2,3,2,3,2,3,2,3,3,2,1,"1,3,1",22
77,16,1,4,9.33,"5,3,1","2,5,8",4,5,4,5,2,3,1,2,1,1,3,1,1,1,2,"1,2,1",18
78,16,2,5,9.07,"5,6,8","12,2,8",4,3,5,2,3,2,2,1,1,3,3,2,1,3,1,"8,1,6",1
79,16,1,2,8.28,"5,6,1","10,12,5",3,1,3,5,1,1,1,2,3,3,3,1,1,2,2,"4,5,1",8
80,16,2,4,8.5,"3,6,1","11,2,3",4,2,5,5,1,1,1,1,3,2,1,2,2,2,1,"7,1,1",4
81,16,2,3,9.29,"2,6,3","11,3,4",5,2,2,4,3,3,1,2,2,1,3,2,3,3,3,"1,2,1",5
82,16,1,2,8.3,"2,6,4","1,11,4",5,4,3,2,3,2,1,1,3,2,1,1,1,1,2,"6,8,1",8
83,17,2,2,7.14,"1,5,6","1,5,6",4,4,1,4,1,2,3,3,3,3,2,1,3,3,3,"8,1,4",8
84,19,1,2,8.35,"5,8,6","11,6,7",5,4,4,2,2,2,3,2,3,2,1,2,3,3,2,"3,1,2",16
85,17,1,3,9.16,"8,4,7","12,5,8",3,2,2,3,3,1,2,1,1,1,2,2,2,1,1,"1,7,6",21
86,17,2,3,8.5,"5,6,2","10,11,8",1,4,4,2,3,2,3,1,1,2,1,1,3,1,1,"5,6,3",21
87,16,2,3,7.88,"1,6,5","11,3,8",4,4,4,3,1,3,3,3,1,2,1,1,1,3,3,"1,6,3",21
88,16,1,2,9.06,"7,5,3","1,12,7",3,1,1,1,3,2,3,1,2,3,3,3,1,2,3,"6,1,5",8
89,19,2,2,9.26,"7,6,1","5,7,8",2,3,3,5,3,3,1,1,1,2,3,2,1,1,1,"1,2,3",8
90,19,1,4,8.97,"5,8,2","10,5,6",3,3,4,1,2,2,1,2,2,3,2,2,2,1,3,"2,1,6",5
91,18,2,2,7.52,"7,6,5","12,3,9",1,1,2,1,3,1,3,1,1,2,2,3,2,1,1,"1,6,4",8
92,18,1,3,8.96,"6,2,4","2,3,9",1,5,5,5,1,1,3,3,2,3,1,2,1,2,2,"4,7,5",22
93,18,1,5,7.22,"4,7,3","2,4,6",2,1,4,4,3,3,3,3,3,1,3,2,2,2,1,"8,6,2",14
94,17,2,1,7.62,"7,2,3","12,2,7",5,4,4,1,2,1,2,2,1,2,1,2,3,2,1,"3,8,7",11
95,16,2,1,7.4,"1,2,5","1,8,9",3,4,5,4,2,1,3,1,3,1,3,1,2,3,1,"2,3,8",21
96,17,1,3,7.34,"7,1,8","11,4,6",3,2,2,1,3,1,2,3,1,1,3,3,1,2,2,"5,7,8",21
97,18,2,4,8.95,"4,2,1","1,11,7",2,5,1,5,2,2,3,2,3,1,3,1,1,2,3,"6,3,5",6
98,17,2,3,7.25,"3,2,1","2,4,6",1,5,3,1,1,3,3,1,1,3,3,1,1,1,2,"8,1,5",5
99,19,1,1,7.09,"5,3,8","1,12,6",1,5,4,1,3,3,1,2,2,3,2,3,2,3,1,"4,3,1",10
100,19,2,2,8.02,"5,6,1","1,5,8",5,5,3,2,1,2,1,1,3,3,3,1,3,1,2,"1,8,7",8
101,16,1,3,7.71,"3,6,7","1,10,3",2,3,1,5,2,3,3,2,2,3,3,2,1,2,2,"6,1,7",22
102,19,1,2,9.22,"8,5,3","1,4,5",2,4,2,2,2,2,1,1,3,3,1,1,2,2,3,"5,4,2",16
103,16,1,3,7.46,"8,4,3","1,10,4",2,5,4,5,3,3,2,2,3,1,2,1,2,3,3,"4,2,3",5
104,17,2,3,9.34,"5,3,1","12,2,8",5,1,5,1,2,1,2,1,3,1,1,1,2,1,3,"3,4,1",21
105,17,2,3,7.81,"5,3,8","12,2,5",3,2,1,4,2,1,3,1,3,2,1,1,3,1,2,"4,7,1",21
106,19,1,4,8.56,"3,1,4","1,2,9",1,1,4,5,3,1,2,1,1,2,2,3,2,2,1,"3,7,5",21
107,17,2,1,8.28,"2,8,3","11,2,8",1,3,3,1,2,3,2,2,2,3,2,3,2,2,1,"7,5,4",13
108,16,2,2,9.39,"2,1,7","11,4,8",1,5,5,3,1,3,2,1,3,3,3,1,3,3,2,"1,4,8",15
109,19,2,1,8.07,"4,7,3","12,2,7",2,4,3,3,1,1,2,1,3,1,1,3,1,2,3,"5,1,2",13
110,16,1,4,9.13,"2,4,3","1,5,6",3,1,2,5,3,2,3,2,3,3,2,1,1,3,2,"7,5,6",5
111,17,2,1,8.99,"5,3,7","2,4,9",4,3,4,3,3,2,3,1,1,1,3,1,3,1,1,"6,5,7",11
112,18,2,1,7.74,"4,7,2","10,5,7",5,5,2,4,2,1,1,3,2,3,3,2,3,2,1,"7,2,5",4
113,17,1,2,8.96,"3,4,6","2,5,8",5,3,1,1,2,2,3,3,3,3,3,1,3,1,3,"5,7,1",8
114,19,1,1,7.29,"6,1,2","1,6,9",2,2,1,1,3,2,1,1,1,2,2,2,3,1,1,"7,1,4",10
115,18,2,4,7.64,"8,6,7","10,12,5",5,3,4,3,1,1,1,2,1,3,2,1,2,1,1,"4,7,3",19
116,19,1,2,7.14,"5,7,1","10,12,7",5,3,5,4,3,2,3,2,1,2,3,3,1,3,2,"4,7,1",8
117,16,1,3,7.37,"6,4,7","12,4,7",2,4,3,5,2,2,1,2,2,3,2,1,1,2,2,"1,1,2",5
118,18,2,1,8.51,"2,5,7","10,5,9",2,2,1,5,3,1,2,3,2,1,1,2,1,2,1,"5,7,2",10
119,16,1,5,7.57,"2,7,4","12,6,9",4,1,4,1,3,2,1,1,1,3,3,2,1,3,3,"4,1,1",1
120,19,2,1,9.05,"6,7,8","2,3,8",1,2,1,3,1,1,1,3,2,3,1,2,3,3,2,"4,2,5",4
121,18,2,4,7.57,"1,5,7","6,8,9",3,3,5,3,1,3,2,3,2,1,1,1,1,3,2,"1,1,2",19
122,16,2,2,7.37,"5,4,3","10,12,8",3,1,3,2,2,3,3,2,3,3,2,2,2,2,1,"5,6,4",8
123,16,1,2,8.22,"4,5,2","10,5,6",3,4,1,3,1,1,3,3,3,2,3,3,1,2,1,"6,1,8",8
124,18,1,2,7.76,"6,3,8","1,6,8",2,2,3,2,3,1,2,1,1,3,3,1,2,1,3,"7,2,4",8
125,17,1,3,8.96,"1,3,8","4,8,9",5,3,2,5,3,2,3,3,2,3,1,1,1,3,2,"6,4,1",5
126,18,1,3,8.69,"1,7,3","6,7,9",2,4,1,3,3,1,1,2,3,3,3,1,1,3,2,"6,1,5",5
127,18,2,4,9.01,"7,2,6","3,7,9",2,3,1,1,1,3,1,1,2,1,3,2,1,1,1,"4,8,1",1
128,17,1,3,8.03,"2,5,8","10,11,7",4,4,2,3,2,2,1,1,1,1,3,1,1,3,3,"5,3,1",21
129,18,2,1,8.03,"5,7,8","11,2,3",4,2,1,5,2,2,1,3,3,1,2,2,1,1,1,"8,7,5",4
130,16,2,1,9.11,"2,6,5","2,3,6",5,2,5,3,1,3,1,3,3,3,3,3,2,3,1,"7,2,4",6
131,19,2,1,9.38,"6,2,5","2,3,5",4,5,2,2,3,2,2,3,2,3,3,1,2,3,3,"4,3,1",10
132,18,1,5,9.31,"2,6,4","1,7,8",3,5,2,5,3,1,3,2,3,3,3,2,2,2,2,"5,1,4",14
133,19,2,2,8.68,"1,4,5","5,7,8",4,1,1,4,2,2,2,2,1,2,1,1,3,2,1,"3,4,2",16
134,18,2,1,7.89,"5,1,2","3,4,8",1,3,4,5,2,1,3,2,2,3,3,1,2,3,1,"7,6,1",13
135,16,2,2,9.06,"5,1,6","10,7,8",3,5,4,1,1,2,1,1,2,1,1,1,2,1,3,"1,2,6",16
136,16,1,1,8.04,"7,2,5","5,6,8",3,2,3,2,2,1,3,1,1,3,2,2,3,3,1,"3,6,4",13
137,19,1,3,7.27,"3,5,1","3,4,8",5,2,3,2,1,1,1,1,3,2,2,2,3,3,1,"3,1,6",5
138,17,2,1,9.11,"3,8,5","11,6,9",2,5,3,1,3,3,1,1,1,2,3,3,3,1,1,"6,3,5",6
139,16,1,3,8.6,"4,8,2","12,3,5",4,5,1,4,3,1,3,1,1,3,2,1,2,2,3,"7,6,3",21
140,18,2,2,8.41,"6,1,2","4,6,7",4,3,3,3,1,3,2,3,3,2,2,1,2,1,1,"6,8,3",8
141,19,2,3,8.87,"7,6,3","1,10,2",4,3,1,1,2,2,3,1,1,1,1,1,2,2,1,"1,7,1",21
142,17,1,2,8.45,"7,3,1","4,6,8",2,1,1,1,2,1,2,1,2,1,3,3,1,3,1,"6,3,5",15
143,19,2,4,8.49,"3,6,5","11,12,8",5,4,2,4,1,2,3,3,3,2,1,3,2,2,1,"8,6,7",4
144,18,1,2,9.08,"7,3,1","10,12,2",4,5,1,3,3,1,2,2,2,2,3,2,3,3,3,"5,6,1",16
145,16,2,1,7.08,"2,4,8","12,5,6",5,3,4,3,1,3,3,2,3,1,3,1,3,2,2,"2,5,8",13
146,16,1,3,8.36,"4,6,5","11,3,6",1,1,3,1,1,1,1,1,2,3,3,3,1,3,1,"4,3,5",5
147,17,2,4,8.3,"2,1,7","10,7,8",1,4,1,2,2,3,1,3,2,2,1,3,3,1,2,"1,2,4",1
148,18,2,1,9.26,"1,2,8","1,12,9",1,3,4,2,1,2,1,2,3,1,2,1,1,2,3,"1,5,1",4
149,16,2,5,7.41,"4,3,1","2,6,8",3,3,5,2,2,3,1,3,3,1,3,3,3,2,2,"8,3,7",3
150,18,2,2,9.45,"3,1,7","2,5,9",2,2,1,5,3,1,1,1,2,1,1,2,3,1,3,"1,7,1",8
151,16,2,5,7.29,"3,1,4","12,3,7",1,3,4,3,3,1,1,3,1,3,2,1,2,1,2,"3,2,1",3
152,16,1,1,8.51,"2,3,6","1,6,8",5,3,4,3,1,1,3,3,3,2,3,3,1,3,2,"5,6,2",13
153,16,2,2,7.75,"5,4,6","10,2,5",4,1,3,3,2,1,3,1,3,1,3,1,2,2,2,"2,8,4",15
154,16,2,2,9.13,"3,7,4","11,12,6",2,5,3,3,2,1,1,1,2,1,3,2,1,3,3,"4,6,8",15
155,16,1,5,8.9,"8,5,6","4,7,9",5,1,2,1,1,1,2,3,3,2,2,3,1,3,3,"3,1,4",2
156,17,2,1,9.14,"4,8,6","11,12,9",5,2,5,2,2,2,2,2,3,1,1,1,1,3,3,"1,8,2",6
157,18,2,5,7.29,"6,3,4","1,6,8",4,2,3,5,1,2,2,1,2,1,2,3,1,3,1,"4,5,3",2
158,17,2,4,9.46,"3,6,5","1,6,8",2,1,2,5,2,2,1,2,1,2,3,2,3,2,3,"1,8,5",4
159,19,2,3,7.19,"6,3,7","3,5,8",1,1,1,2,3,3,2,2,1,1,2,2,3,1,1,"2,7,5",5
160,17,2,3,7.96,"4,5,2","3,5,6",2,1,4,5,1,2,3,2,2,1,3,2,2,1,3,"5,1,3",22
161,17,1,1,7.25,"1,8,5","11,12,5",2,4,5,3,3,2,2,2,3,3,1,3,3,2,3,"4,1,3",7
162,18,2,3,8.21,"5,7,1","3,6,8",3,3,5,3,3,1,1,2,3,1,2,1,2,1,1,"2,8,5",5
163,16,2,1,7.08,"7,6,8","3,5,9",4,5,2,3,1,3,3,1,2,3,2,1,3,3,1,"1,3,2",13
164,18,2,4,8.7,"7,5,6","11,5,6",5,4,5,3,2,2,1,3,1,2,1,3,1,2,3,"3,7,5",4
165,16,2,3,9.45,"5,3,7","2,6,7",5,4,3,4,1,3,1,1,3,1,3,2,2,3,2,"2,5,4",5
166,17,2,1,8.98,"1,2,3","11,4,8",3,2,3,3,3,2,2,3,3,1,3,2,3,3,3,"3,2,8",8
167,19,2,5,9.4,"3,7,1","10,11,5",4,4,5,2,3,1,3,2,2,1,2,3,2,1,1,"4,1,2",14
168,17,1,3,7.35,"3,7,6","10,3,5",3,3,5,4,2,1,2,3,1,1,3,3,3,3,2,"7,1,1",21
169,18,1,5,7.72,"8,5,2","1,12,9",1,4,1,1,1,1,3,3,1,3,3,2,3,3,3,"6,5,8",1
170,16,2,1,7.7,"2,5,1","10,2,7",5,5,3,5,2,3,3,3,3,2,2,3,3,3,3,"1,6,7",6
171,16,1,5,7.01,"8,6,4","10,4,5",3,3,1,1,2,2,2,3,2,3,2,1,3,2,3,"1,5,6",3
172,18,2,2,7.1,"5,1,2","2,3,9",5,1,2,3,3,3,1,2,1,3,3,2,3,2,2,"8,7,1",8
173,19,1,5,7.67,"8,2,6","12,5,6",2,3,4,4,3,2,2,3,2,3,3,1,3,2,2,"3,8,1",1
174,19,2,1,9.3,"1,3,7","1,12,9",3,1,4,1,1,3,1,3,2,1,3,2,1,3,2,"5,8,2",4
175,17,1,1,7.87,"3,8,1","11,4,8",5,3,1,2,1,1,3,2,1,1,3,3,3,1,2,"1,4,7",6
176,17,2,1,8.31,"8,6,4","11,12,2",1,3,2,4,1,2,3,3,3,2,3,1,3,1,2,"1,7,2",4
177,19,1,1,7.85,"7,5,2","10,2,4",3,5,5,1,1,1,3,3,2,2,1,3,3,1,2,"1,2,8",4
178,16,1,5,8.84,"1,5,8","5,6,9",3,1,4,2,1,3,1,3,1,3,3,2,1,2,3,"6,4,2",1
179,16,2,1,8.33,"4,3,2","1,3,9",2,1,4,3,1,3,3,1,1,1,3,3,2,1,2,"5,7,2",21
180,19,2,3,7.74,"3,6,7","1,10,8",1,5,2,5,2,2,1,1,1,1,2,2,1,3,2,"1,6,7",22
181,17,2,1,7.69,"5,2,1","11,3,9",5,1,3,3,1,3,1,3,3,2,2,3,3,1,1,"3,2,6",6
182,18,2,2,8.56,"2,1,5","2,6,8",4,4,3,2,1,3,2,2,3,2,3,2,3,3,2,"3,8,7",16
183,16,2,5,8.65,"7,6,4","1,3,9",5,4,1,3,3,1,2,3,3,1,1,1,1,2,2,"1,1,3",2
184,17,2,3,7.82,"5,3,8","3,6,7",2,5,3,1,2,2,3,2,3,1,2,2,3,1,3,"2,5,4",5
185,17,1,1,7.21,"4,2,5","4,7,8",3,3,2,4,2,1,3,2,3,2,1,1,3,2,1,"5,4,6",13
186,19,2,1,7.74,"6,3,2","10,11,9",4,1,2,5,1,2,3,3,1,3,1,2,1,2,3,"1,5,6",4
187,19,2,1,8.91,"8,2,4","3,4,7",4,5,5,3,2,1,2,2,1,3,2,3,3,3,2,"3,1,2",19
188,19,2,5,7.46,"1,6,2","1,11,3",3,2,5,5,2,2,1,2,1,3,1,2,2,3,1,"2,8,5",1
189,19,1,2,8.69,"6,5,8","11,4,8",3,5,2,4,3,2,3,1,1,2,3,2,1,2,2,"5,2,8",8
190,17,1,5,7.69,"4,2,3","1,12,7",2,4,4,5,1,2,2,3,1,1,2,2,2,1,3,"1,3,4",14
191,18,1,3,7.88,"4,6,3","2,3,9",2,1,4,2,2,3,2,3,2,3,3,1,1,1,1,"3,4,1",5
192,19,2,4,8.46,"1,8,2","1,4,9",4,5,4,4,3,2,2,1,1,1,2,3,1,3,3,"7,5,1",4
193,16,1,3,8.93,"7,1,6","1,4,9",4,2,1,3,1,2,1,3,2,3,3,2,2,2,3,"2,7,6",5
194,16,2,1,8.35,"8,5,3","6,7,8",4,5,1,1,2,1,1,2,1,2,1,2,2,1,2,"1,8,5",4
195,19,2,2,9.48,"4,2,5","1,12,6",4,4,2,1,2,2,3,1,3,2,3,2,1,3,3,"3,6,1",8
196,18,1,5,7.89,"8,4,3","2,3,5",4,3,5,2,1,3,1,2,1,1,1,3,2,2,1,"3,6,4",1
197,19,2,3,7.07,"2,4,8","11,5,8",4,2,1,3,1,1,3,3,2,3,1,1,3,2,3,"6,5,3",21
198,19,2,1,9.11,"2,4,6","1,4,8",1,5,4,5,2,2,3,3,3,3,2,2,2,3,1,"6,4,8",10
199,18,1,3,7.58,"3,4,1","11,4,6",1,1,4,5,2,1,2,3,2,2,2,1,2,1,2,"6,1,1",21
200,19,1,4,9.39,"6,1,2","1,7,8",5,3,1,5,1,1,1,3,1,2,1,2,3,3,3,"6,1,4",4
201,16,1,4,7.64,"1,8,6","1,3,5",1,3,2,1,3,1,2,1,3,2,2,2,3,1,1,"2,5,3",19
202,18,2,3,8.11,"7,1,4","2,4,6",2,2,5,4,3,3,2,2,3,3,3,1,1,3,1,"5,8,3",5
203,19,2,4,7.59,"3,2,4","2,7,9",5,5,4,2,1,3,3,3,3,3,3,2,3,1,1,"2,1,1",5
204,16,1,3,7.99,"8,2,1","12,7,8",3,4,3,4,3,2,1,2,1,3,2,3,2,3,1,"2,1,1",7
205,16,1,5,8.56,"6,4,5","12,5,7",4,4,1,3,3,1,2,2,1,1,2,3,3,3,1,"8,3,6",14
206,16,1,2,9.29,"3,2,8","1,11,8",3,2,2,2,1,1,3,3,1,2,2,3,3,1,1,"8,6,5",8
207,16,1,1,7.9,"7,1,4","10,6,8",5,5,2,2,2,2,2,3,1,3,2,1,3,2,2,"2,3,7",10
208,17,1,5,7.66,"8,4,3","11,2,6",3,1,1,3,1,1,1,1,3,2,3,1,1,2,1,"1,6,8",3
209,19,2,4,7.23,"3,1,6","1,11,7",5,5,4,4,1,1,2,3,1,2,1,2,1,3,1,"4,7,3",19
210,18,2,1,9.21,"4,1,6","5,6,9",5,4,3,5,2,2,2,2,2,3,2,1,1,1,3,"2,4,1",10
211,19,2,1,8.41,"4,1,7","12,3,6",2,3,1,1,2,3,1,3,2,3,3,2,2,2,1,"4,1,2",4
212,17,1,2,8.78,"5,3,7","1,12,2",5,2,4,1,1,1,2,1,3,1,1,3,3,2,2,"5,6,8",16
213,16,1,4,7.69,"8,4,1","1,10,9",3,4,2,4,2,1,1,2,1,2,1,2,3,2,2,"4,3,2",19
